row,speed,colors,humanPaddleSize,aiPaddleSize,humanScore,aiScore,guess,tutorial,practice,rt,trial_index,time_elapsed,trial_type,button_pressed,response,responses,worker_id
1444,15,Array,0.5,1,2,5,3,NULL,NULL,NULL,68,439811,pong,NULL,NULL,NULL,NULL
1445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2056,69,441870,html-button-response,1,NULL,NULL,NULL
1446,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,921,70,442793,html-button-response,2,NULL,NULL,NULL
1447,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1602,71,444396,html-slider-response,NULL,15,NULL,NULL
1448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,444399,call-function,NULL,NULL,NULL,NULL
1449,13,Array,1.9,1,4,1,2,NULL,NULL,NULL,73,464712,pong,NULL,NULL,NULL,NULL
1450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7133,74,471849,html-button-response,2,NULL,NULL,NULL
1451,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3940,75,475790,html-button-response,0,NULL,NULL,NULL
1452,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2319,76,478112,html-slider-response,NULL,65,NULL,NULL
1453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,478114,call-function,NULL,NULL,NULL,NULL
1454,15,Array,1.9,1,4,0,2,NULL,NULL,NULL,78,498296,pong,NULL,NULL,NULL,NULL
1455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1894,79,500194,html-button-response,1,NULL,NULL,NULL
1456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1049,80,501247,html-button-response,1,NULL,NULL,NULL
1457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1729,81,502979,html-slider-response,NULL,62,NULL,NULL
1458,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,502982,call-function,NULL,NULL,NULL,NULL
1459,15,Array,1.2,1,1,0,1,NULL,NULL,NULL,83,520464,pong,NULL,NULL,NULL,NULL
1460,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1220,84,521686,html-button-response,1,NULL,NULL,NULL
1461,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1771,85,523459,html-button-response,0,NULL,NULL,NULL
1462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1822,86,525283,html-slider-response,NULL,60,NULL,NULL
1463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,525285,call-function,NULL,NULL,NULL,NULL
1464,13,Array,0.5,1,1,0,1,NULL,NULL,NULL,88,547082,pong,NULL,NULL,NULL,NULL
1465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3860,89,550945,html-button-response,1,NULL,NULL,NULL
